
Sudan,26
Angola,32
Benin,12
Botswana,16
Burkina Faso,12
Cameroon,29
Cape Verde,#N/A
Central African Republic,#N/A
Chad,16
Comoros,14
Congo,#N/A
Cote d'Ivoire,25
Democratic Republic of the Congo,#N/A
Djibouti,12
South Sudan,21
Equatorial Guinea,6
Eritrea,21
Ethiopia,35
Gabon,7
Gambia,#N/A
Ghana,23
Guinea-Bissau,12
Guinea,20
Kenya,44
Lesotho,8
Liberia,14
Madagascar,37
Malawi,19
Mali,17
Mauritania,19
Mauritius,12
Mozambique,30
Namibia,32
Niger,13
Nigeria,21
Senegal,19
Seychelles,13
"Sierra Leone	",#N/A
Somalia,21
South Africa,54
Burundi,15
Swaziland,#N/A
Togo,13
Uganda,30
United Republic of Tanzania,#N/A
Zambia,20
Zimbabwe,19
Algeria,15
Abyei,#N/A
Libya,8
Morocco,18
Rwanda,20
Sao Tome and Principe,#N/A
Tunisia,11
Western Sahara,#N/A
Hala'ib triangle,#N/A
Ma'tan al-Sarra,#N/A
Egypt,#N/A
Ilemi triangle,#N/A
